"男名","男メイ"
"佳空","けいすけ"
"啓亮","けいすけ"
"啓介","けいすけ"
"啓佑","けいすけ"
"啓助","けいすけ"
"啓祐","けいすけ"
"啓輔","けいすけ"
"圭亮","けいすけ"
"圭介","けいすけ"
"圭佑","けいすけ"
"圭助","けいすけ"
"圭将","けいすけ"
"圭恭","けいすけ"
"圭祐","けいすけ"
"圭輔","けいすけ"
"奎亮","けいすけ"
"奎介","けいすけ"
"奎輔","けいすけ"
"恵亮","けいすけ"
"恵介","けいすけ"
"恵佑","けいすけ"
"恵助","けいすけ"
"恵輔","けいすけ"
"慧輔","けいすけ"
"慶亮","けいすけ"
"慶介","けいすけ"
"慶佑","けいすけ"
"慶典","けいすけ"
"敬介","けいすけ"
"敬助","けいすけ"
"敬祐","けいすけ"
"敬輔","けいすけ"
"景介","けいすけ"
"桂亮","けいすけ"
"桂介","けいすけ"
"桂佐","けいすけ"
"桂助","けいすけ"
"桂舗","けいすけ"
"桂資","けいすけ"
"桂輔","けいすけ"
"渓介","けいすけ"
"稽佑","けいすけ"
"競介","けいすけ"
"競輔","けいすけ"
"<U+7E6B>介","けいすけ"
"蛍介","けいすけ"
"啓生","けいせい"
"彗聖","けいせい"
"慧聖","けいせい"
"佳三","けいぞう"
"圭三","けいぞう"
"圭蔵","けいぞう"
"圭造","けいぞう"
"恵三","けいぞう"
"慶蔵","けいぞう"
"敬三","けいぞう"
"敬造","けいぞう"
"景三","けいぞう"
"景蔵","けいぞう"
"景造","けいぞう"
"桂三","けいぞう"
"桂蔵","けいぞう"
"桂造","けいぞう"
"京太","けいた"
"京汰","けいた"
"佳大","けいた"
"佳太","けいた"
"佳汰","けいた"
"係太","けいた"
"兄太","けいた"
"刑太","けいた"
"啓","けいた"
"啓多","けいた"
"啓大","けいた"
"啓太","けいた"
"啓汰","けいた"
"圭多","けいた"
"圭大","けいた"
"圭太","けいた"
"圭汰","けいた"
"恵多","けいた"
"恵大","けいた"
"恵太","けいた"
"恵汰","けいた"
"恵馳","けいた"
"慧太","けいた"
"慶多","けいた"
"慶大","けいた"
"慶太","けいた"
"慶汰","けいた"
"敬依太","けいた"
"敬多","けいた"
"敬大","けいた"
"敬太","けいた"
"景多","けいた"
"景太","けいた"
"桂多","けいた"
"桂太","けいた"
"渓太","けいた"
"競太","けいた"
"系太","けいた"
"経太","けいた"
"継太","けいた"
"蛍太","けいた"
"計太","けいた"
"蹴板","けいた"
"酉太","けいた"
"佳泰","けいたい"
"京隆","けいたか"
"恵貴","けいたか"
"慶辰","けいたつ"
"慶達","けいたつ"
"佳太郎","けいたろう"
"啓太朗","けいたろう"
"啓太郎","けいたろう"
"圭多郎","けいたろう"
"圭太朗","けいたろう"
"圭太郎","けいたろう"
"恵太朗","けいたろう"
"慶多郎","けいたろう"
"慶太郎","けいたろう"
"敬太郎","けいたろう"
"景太郎","けいたろう"
"桂多朗","けいたろう"
"桂多郎","けいたろう"
"桂太朗","けいたろう"
"桂太郎","けいたろう"
"渓太郎","けいたろう"
"競太郎","けいたろう"
"圭大","けいだい"
"慧大","けいだい"
"慶大","けいだい"
"敬大","けいだい"
"景大","けいだい"
"桂大","けいだい"
"渓大","けいだい"
"形兆","けいちょう"
"啓哲","けいてつ"
"恵天","けいてん"
"京都","けいと"
"佳人","けいと"
"佳斗","けいと"
"佳智","けいと"
"佳都","けいと"
"佳音","けいと"
"卿人","けいと"
"啓人","けいと"
"啓大","けいと"
"啓斗","けいと"
"啓音","けいと"
"圭人","けいと"
"圭斗","けいと"
"圭渡","けいと"
"圭登","けいと"
"圭翔","けいと"
"圭虎","けいと"
"圭都","けいと"
"圭音","けいと"
"恵人","けいと"
"恵叶","けいと"
"恵土","けいと"
"恵徒","けいと"
"恵斗","けいと"
"恵澄","けいと"
"恵翔","けいと"
"恵音","けいと"
"慧斗","けいと"
"慧音","けいと"
"慶乙","けいと"
"慶人","けいと"
"慶斗","けいと"
"慶登","けいと"
"慶豊","けいと"
"慶都","けいと"
"慶音","けいと"
"敬土","けいと"
"敬斗","けいと"
"敬音","けいと"
"景斗","けいと"
"桂人","けいと"
"桂斗","けいと"
"桂渡","けいと"
"桂登","けいと"
"桂都","けいと"
"渓人","けいと"
"系都","けいと"
"蛍斗","けいと"
"蛍都","けいと"
"啓土","けいど"
"圭土","けいど"
"恵土","けいど"
"慶土","けいど"
"敬土","けいど"
"景土","けいど"
"渓生","けいな"
"啓之進","けいのしん"
"圭之進","けいのしん"
"恵之進","けいのしん"
"慶之進","けいのしん"
"敬之進","けいのしん"
"景之進","けいのしん"
"桂之進","けいのしん"
"啓之介","けいのすけ"
"啓之助","けいのすけ"
"圭之介","けいのすけ"
"圭之助","けいのすけ"
"慶乃丞","けいのすけ"
"敬之助","けいのすけ"
"景之介","けいのすけ"
"景之助","けいのすけ"
"桂之介","けいのすけ"
"桂之助","けいのすけ"
"敬生","けいは"
"啓真","けいま"
"啓磨","けいま"
"啓馬","けいま"
"圭摩","けいま"
"圭真","けいま"
"圭磨","けいま"
"圭馬","けいま"
"圭麻","けいま"
"恵真","けいま"
"恵馬","けいま"
"恵麻","けいま"
"敬馬","けいま"
"桂摩","けいま"
"桂真","けいま"
"桂磨","けいま"
"桂馬","けいま"
"桂麻","けいま"
"啓明","けいめい"
"京也","けいや"
"京弥","けいや"
"圭也","けいや"
"圭哉","けいや"
"圭弥","けいや"
"圭矢","けいや"
"圭耶","けいや"
"奎也","けいや"
"奎哉","けいや"
"奎弥","けいや"
"恵也","けいや"
"恵哉","けいや"
"恵弥","けいや"
"恵矢","けいや"
"慶","けいや"
"慶也","けいや"
"景也","けいや"
"桂也","けいや"
"桂哉","けいや"
"桂弥","けいや"
"桂矢","けいや"
"桂耶","けいや"
"敬優","けいゆう"
"京蘭","けいら"
"啓利","けいり"
"啓莉","けいり"
"恵杏","けいり"
"慶杏","けいり"
"京隆","けいりゅう"
"啓良","けいりょう"
"翔輝","けいる"
"恵路","けいろ"
"敬老","けいろう"
"佳音","けいん"
"圭音","けいん"
"快音","けいん"
"恵韻","けいん"
"稀音","けいん"
"計音","けいん"
"計韻","けいん"
"稀有","けう"
"啓仁亜","けにあ"
"化敏","けびん"
"圭敏","けびん"
"健力強","けりき"
"乾","けん"
"件","けん"
"健","けん"
"兼","けん"
"券","けん"
"剣","けん"
"圈","けん"
"圏","けん"
"堅","けん"
"建","けん"
"憲","けん"
"懸","けん"
"拳","けん"
"検","けん"
"権","けん"
"献","けん"
"県","けん"
"研","けん"
"絢","けん"
"絹","けん"
"縣","けん"
"見","けん"
"謙","けん"
"賢","けん"
"軒","けん"
"鍵","けん"
"険","けん"
"顕","けん"
"験","けん"
"輝癒","けんい"
"健一","けんいち"
"健壱","けんいち"
"健市","けんいち"
"兼一","けんいち"
"兼市","けんいち"
"剣一","けんいち"
"剣壱","けんいち"
"剣市","けんいち"
"堅一","けんいち"
"憲一","けんいち"
"憲壱","けんいち"
"憲市","けんいち"
"検一","けんいち"
"検壱","けんいち"
"検市","けんいち"
"権一","けんいち"
"献一","けんいち"
"献市","けんいち"
"玄一","けんいち"
"県一","けんいち"
"県市","けんいち"
"研一","けんいち"
"研壱","けんいち"
"研市","けんいち"
"絢一","けんいち"
"絢市","けんいち"
"縣一","けんいち"
"縣壱","けんいち"
"縣市","けんいち"
"腎一","けんいち"
"見一","けんいち"
"見市","けんいち"
"謙一","けんいち"
"謙壱","けんいち"
"謙市","けんいち"
"賢一","けんいち"
"賢壱","けんいち"
"賢市","けんいち"
"軒一","けんいち"
"軒壱","けんいち"
"軒市","けんいち"
"鍵一","けんいち"
"鎌一","けんいち"
"顕一","けんいち"
"健一之助","けんいちのすけ"
"健一朗","けんいちろう"
"健一郎","けんいちろう"
"研一朗","けんいちろう"
"研一郎","けんいちろう"
"腎一郎","けんいちろう"
"謙一朗","けんいちろう"
"謙一郎","けんいちろう"
"賢一朗","けんいちろう"
"賢一郎","けんいちろう"
"遣永","けんえい"
"賢右衛門","けんえもん"
"賢衛門","けんえもん"
"賢王","けんおう"
"健雅","けんが"
"剣河","けんが"
"県雅","けんが"
"健貴","けんき"
"賢紀","けんき"
"乾吉","けんきち"
"件吉","けんきち"
"健吉","けんきち"
"兼吉","けんきち"
"券吉","けんきち"
"剣吉","けんきち"
"圏吉","けんきち"
"堅吉","けんきち"
"建吉","けんきち"
"憲吉","けんきち"
"拳吉","けんきち"
"検吉","けんきち"
"権吉","けんきち"
"献吉","けんきち"
"県吉","けんきち"
"研吉","けんきち"
"縣吉","けんきち"
"見吉","けんきち"
"謙吉","けんきち"
"賢吉","けんきち"
"軒吉","けんきち"
"鎌吉","けんきち"
"険吉","けんきち"
"顕吉","けんきち"
"験吉","けんきち"
"建国","けんこく"
"健五","けんご"
"健伍","けんご"
"健午","けんご"
"健吾","けんご"
"健呉","けんご"
"健悟","けんご"
"健護","けんご"
"堅吾","けんご"
"建吾","けんご"
"憲吾","けんご"
"拳吾","けんご"
"拳悟","けんご"
"玄伍","けんご"
"県五","けんご"
"県伍","けんご"
"県午","けんご"
"県吾","けんご"
"県呉","けんご"
"県悟","けんご"
"研伍","けんご"
"研吾","けんご"
"絢吾","けんご"
"謙吾","けんご"
"謙呉","けんご"
"謙悟","けんご"
"賢吾","けんご"
"賢悟","けんご"
"賢虎","けんご"
"顕吾","けんご"
"健剛","けんごう"
"健午郎","けんごろう"
"健吾朗","けんごろう"
"健吾郎","けんごろう"
"健呉朗","けんごろう"
"健呉郎","けんごろう"
"健悟朗","けんごろう"
"健悟郎","けんごろう"
"件作","けんさく"
"件策","けんさく"
"健作","けんさく"
"健策","けんさく"
"兼作","けんさく"
"兼策","けんさく"
"剣作","けんさく"
"剣策","けんさく"
"堅作","けんさく"
"堅策","けんさく"
"憲作","けんさく"
"憲策","けんさく"
"懸作","けんさく"
"懸策","けんさく"
"拳作","けんさく"
"拳策","けんさく"
"検作","けんさく"
"検策","けんさく"
"県作","けんさく"
"県策","けんさく"
"研作","けんさく"
"研策","けんさく"
"縣作","けんさく"
"縣策","けんさく"
"謙作","けんさく"
"謙策","けんさく"
"賢作","けんさく"
"賢策","けんさく"
"軒作","けんさく"
"軒策","けんさく"
"険作","けんさく"
"険策","けんさく"
"憲三郎","けんさぶろう"
"謙三郎","けんさぶろう"
"健三朗","けんざぶろう"
"健三郎","けんざぶろう"
"研三郎","けんざぶろう"
"謙三朗","けんざぶろう"
"謙三郎","けんざぶろう"
"賢三朗","けんざぶろう"
"賢三郎","けんざぶろう"
"剣山","けんざん"
"健志","けんし"
"剣士","けんし"
"剣志","けんし"
"憲志","けんし"
"拳士","けんし"
"研志","けんし"
"謙司","けんし"
"遣志","けんし"
"顕史","けんし"
"顕士","けんし"
"兼柊","けんしゅう"
"健翔","けんしょう"
"堅翔","けんしょう"
"建匠","けんしょう"
"憲匠","けんしょう"
"憲章","けんしょう"
"健史朗","けんしろう"
"健史郎","けんしろう"
"健司朗","けんしろう"
"健司郎","けんしろう"
"健士朗","けんしろう"
"健士郎","けんしろう"
"健志朗","けんしろう"
"健志郎","けんしろう"
"剣士郎","けんしろう"
"憲司郎","けんしろう"
"拳士朗","けんしろう"
"賢士朗","けんしろう"
"健伸","けんしん"
"健信","けんしん"
"健心","けんしん"
"健慎","けんしん"
"健新","けんしん"
"健晋","けんしん"
"健申","けんしん"
"健眞","けんしん"
"健真","けんしん"
"健紳","けんしん"
"健進","けんしん"
"兼新","けんしん"
"冨岡","けんしん"
"剣心","けんしん"
"堅心","けんしん"
"堅新","けんしん"
"建新","けんしん"
"建真","けんしん"
"憲伸","けんしん"
"憲信","けんしん"
"研新","けんしん"
"研真","けんしん"
"硯伸","けんしん"
"絢心","けんしん"
"謙心","けんしん"
"賢信","けんしん"
"賢心","けんしん"
"件二","けんじ"
"件児","けんじ"
"件次","けんじ"
"件治","けんじ"
"件路","けんじ"
"健之","けんじ"
"健二","けんじ"
"健仁","けんじ"
"健児","けんじ"
"健史","けんじ"
"健司","けんじ"
"健字","けんじ"
"健己","けんじ"
"健志","けんじ"
"健慈","けんじ"
"健次","けんじ"
"健治","けんじ"
"健滋","けんじ"
"健爾","けんじ"
"健示","けんじ"
"健自","けんじ"
"健路","けんじ"
"兼二","けんじ"
"兼児","けんじ"
"兼司","けんじ"
"兼次","けんじ"
"兼治","けんじ"
"兼路","けんじ"
"券二","けんじ"
"券児","けんじ"
"券次","けんじ"
"券治","けんじ"
"券路","けんじ"
"剣二","けんじ"
"剣侍","けんじ"
"剣児","けんじ"
"剣史","けんじ"
"剣司","けんじ"
"剣士","けんじ"
"剣寺","けんじ"
"剣志","けんじ"
"剣次","けんじ"
"剣治","けんじ"
"剣路","けんじ"
"堅二","けんじ"
"堅児","けんじ"
"堅司","けんじ"
"堅慈","けんじ"
"堅持","けんじ"
"堅次","けんじ"
"堅治","けんじ"
"堅路","けんじ"
"建史","けんじ"
"建司","けんじ"
"建志","けんじ"
"建治","けんじ"
"憲二","けんじ"
"憲仁","けんじ"
"憲児","けんじ"
"憲司","けんじ"
"憲慈","けんじ"
"憲次","けんじ"
"憲治","けんじ"
"憲爾","けんじ"
"憲路","けんじ"
"拳二","けんじ"
"拳侍","けんじ"
"拳児","けんじ"
"拳慈","けんじ"
"拳次","けんじ"
"拳治","けんじ"
"拳路","けんじ"
"検二","けんじ"
"検児","けんじ"
"検次","けんじ"
"検治","けんじ"
"検路","けんじ"
"権二","けんじ"
"権児","けんじ"
"献辞","けんじ"
"県二","けんじ"
"県児","けんじ"
"県字","けんじ"
"県次","けんじ"
"県治","けんじ"
"県示","けんじ"
"県路","けんじ"
"研二","けんじ"
"研児","けんじ"
"研次","けんじ"
"研治","けんじ"
"研路","けんじ"
"縣二","けんじ"
"縣児","けんじ"
"縣次","けんじ"
"縣治","けんじ"
"縣路","けんじ"
"腎二","けんじ"
"腎治","けんじ"
"謙二","けんじ"
"謙史","けんじ"
"謙司","けんじ"
"謙志","けんじ"
"謙次","けんじ"
"謙治","けんじ"
"謙而","けんじ"
"賢二","けんじ"
"賢児","けんじ"
"賢冶","けんじ"
"賢史","けんじ"
"賢司","けんじ"
"賢志","けんじ"
"賢慈","けんじ"
"賢次","けんじ"
"賢治","けんじ"
"賢示","けんじ"
"賢路","けんじ"
"険二","けんじ"
"険児","けんじ"
"険次","けんじ"
"険治","けんじ"
"険路","けんじ"
"顕二","けんじ"
"顕司","けんじ"
"顕次","けんじ"
"顕治","けんじ"
"顕示","けんじ"
"顕路","けんじ"
"健樹","けんじゅ"
"賢珠","けんじゅ"
"研順","けんじゅん"
"健丈","けんじょう"
"健二朗","けんじろう"
"健二郎","けんじろう"
"健士朗","けんじろう"
"健士郎","けんじろう"
"健次朗","けんじろう"
"健次郎","けんじろう"
"健治郎","けんじろう"
"憲仁","けんじん"
"賢人","けんじん"
"賢仁","けんじん"
"健須","けんす"
"健丞","けんすけ"
"健亮","けんすけ"
"健介","けんすけ"
"健佐","けんすけ"
"健佑","けんすけ"
"健助","けんすけ"
"健祐","けんすけ"
"健舗","けんすけ"
"健資","けんすけ"
"健輔","けんすけ"
"堅介","けんすけ"
"憲介","けんすけ"
"憲輔","けんすけ"
"拳輔","けんすけ"
"権介","けんすけ"
"権佑","けんすけ"
"権助","けんすけ"
"県介","けんすけ"
"県佑","けんすけ"
"県助","けんすけ"
"県輔","けんすけ"
"研介","けんすけ"
"絢祐","けんすけ"
"腎介","けんすけ"
"謙介","けんすけ"
"謙助","けんすけ"
"謙輔","けんすけ"
"賢介","けんすけ"
"賢輔","けんすけ"
"鍵介","けんすけ"
"鍵輔","けんすけ"
"鎌介","けんすけ"
"鎌輔","けんすけ"
"顕介","けんすけ"
"顕助","けんすけ"
"顕輔","けんすけ"
"健成","けんせい"
"健正","けんせい"
"健生","けんせい"
"兼正","けんせい"
"剣星","けんせい"
"建誠","けんせい"
"拳清","けんせい"
"拳聖","けんせい"
"拳西","けんせい"
"拳醒","けんせい"
"玄聖","けんせい"
"謙生","けんせい"
"謙聖","けんせい"
"賢成","けんせい"
"賢誠","けんせい"
"顕成","けんせい"
"研石","けんせき"
"件三","けんぞう"
"件蔵","けんぞう"
"件造","けんぞう"
"健三","けんぞう"
"健蔵","けんぞう"
"健藏","けんぞう"
"健造","けんぞう"
"兼三","けんぞう"
"兼蔵","けんぞう"
"兼造","けんぞう"
"券三","けんぞう"
"券蔵","けんぞう"
"券造","けんぞう"
"剣三","けんぞう"
"建三","けんぞう"
"建蔵","けんぞう"
"建造","けんぞう"
"憲三","けんぞう"
"憲蔵","けんぞう"
"憲造","けんぞう"
"権三","けんぞう"
"権蔵","けんぞう"
"権造","けんぞう"
"玄曹","けんぞう"
"県三","けんぞう"
"県蔵","けんぞう"
"県造","けんぞう"
"研造","けんぞう"
"謙三","けんぞう"
"謙蔵","けんぞう"
"謙造","けんぞう"
"賢三","けんぞう"
"賢蔵","けんぞう"
"賢造","けんぞう"
"件太","けんた"
"倹太","けんた"
"倹汰","けんた"
"健多","けんた"
"健大","けんた"
"健太","けんた"
"健汰","けんた"
"兼多","けんた"
"兼太","けんた"
"券太","けんた"
"剣多","けんた"
"喧太","けんた"
"圏太","けんた"
"堅太","けんた"
"堅汰","けんた"
"嫌大","けんた"
"建多","けんた"
"建太","けんた"
"憲太","けんた"
"拳大","けんた"
"拳太","けんた"
"拳汰","けんた"
"挙太","けんた"
"権太","けんた"
"牽太","けんた"
"県多","けんた"
"県太","けんた"
"研多","けんた"
"研太","けんた"
"研汰","けんた"
"絢大","けんた"
"絢汰","けんた"
"腎太","けんた"
"謙多","けんた"
"謙太","けんた"
"賢多","けんた"
"賢大","けんた"
"賢太","けんた"
"賢汰","けんた"
"鍵太","けんた"
"顕太","けんた"
"倦太郎","けんたろう"
"健多朗","けんたろう"
"健多郎","けんたろう"
"健太朗","けんたろう"
"健太楼","けんたろう"
"健太郎","けんたろう"
"兼大郎","けんたろう"
"兼太郎","けんたろう"
"券太郎","けんたろう"
"剣太朗","けんたろう"
"圏太郎","けんたろう"
"建太郎","けんたろう"
"憲太郎","けんたろう"
"拳太郎","けんたろう"
"権太郎","けんたろう"
"県太郎","けんたろう"
"腎太郎","けんたろう"
"謙多郎","けんたろう"
"謙太朗","けんたろう"
"謙太郎","けんたろう"
"賢太郎","けんたろう"
"鍵太郎","けんたろう"
"鎌太郎","けんたろう"
"顕太郎","けんたろう"
"憲地","けんち"
"健人","けんと"
"健仁","けんと"
"健和","けんと"
"健大","けんと"
"健尊","けんと"
"健斗","けんと"
"健永","けんと"
"健渡","けんと"
"健登","けんと"
"健篤","けんと"
"健翔","けんと"
"健遙","けんと"
"健都","けんと"
"兼音","けんと"
"剣人","けんと"
"剣仁","けんと"
"剣斗","けんと"
"剣音","けんと"
"堅人","けんと"
"堅音","けんと"
"建杜","けんと"
"建都","けんと"
"憲人","けんと"
"憲仁","けんと"
"憲斗","けんと"
"憲永","けんと"
"拳人","けんと"
"拳斗","けんと"
"拳闘","けんと"
"拳音","けんと"
"権斗","けんと"
"権永","けんと"
"権都","けんと"
"研仁","けんと"
"研斗","けんと"
"研音","けんと"
"絢人","けんと"
"絢士","けんと"
"絢斗","けんと"
"絹人","けんと"
"腎斗","けんと"
"謙人","けんと"
"謙斗","けんと"
"謙智","けんと"
"謙杜","けんと"
"謙永","けんと"
"謙渡","けんと"
"謙登","けんと"
"謙都","けんと"
"賢人","けんと"
"賢斗","けんと"
"賢永","けんと"
"賢都","けんと"
"遣翔","けんと"
"遣都","けんと"
"健徳","けんとく"
"剣徳","けんとく"
"憲徳","けんとく"
"謙徳","けんとく"
"賢徳","けんとく"
"堅土","けんど"
"剣道","けんどう"
"賢之海","けんのうみ"
"健之進","けんのしん"
"兼之進","けんのしん"
"建之進","けんのしん"
"研之進","けんのしん"
"見之進","けんのしん"
"謙之進","けんのしん"
"賢之進","けんのしん"
"健之介","けんのすけ"
"健之助","けんのすけ"
"拳紀介","けんのすけ"
"県乃介","けんのすけ"
"県之介","けんのすけ"
"県之佑","けんのすけ"
"県之助","けんのすけ"
"研之助","けんのすけ"
"見之輔","けんのすけ"
"謙之介","けんのすけ"
"謙之助","けんのすけ"
"賢之介","けんのすけ"
"賢之助","けんのすけ"
"賢春","けんはる"
"剣八","けんぱち"
"健丙","けんぺい"
"健兵","けんぺい"
"健平","けんぺい"
"憲平","けんぺい"
"研平","けんぺい"
"謙丙","けんぺい"
"謙兵","けんぺい"
"謙平","けんぺい"
"賢丙","けんぺい"
"賢兵","けんぺい"
"賢平","けんぺい"
"健磨","けんま"
"健馬","けんま"
"剣真","けんま"
"剣馬","けんま"
"拳馬","けんま"
"研摩","けんま"
"研磨","けんま"
"謙馬","けんま"
"賢馬","けんま"
"剣丸","けんまる"
"堅冥","けんめい"
"監物","けんもつ"
"健也","けんや"
"健哉","けんや"
"健弥","けんや"
"健矢","けんや"
"健耶","けんや"
"兼也","けんや"
"兼哉","けんや"
"券也","けんや"
"券哉","けんや"
"剣也","けんや"
"剣哉","けんや"
"堅也","けんや"
"堅哉","けんや"
"憲也","けんや"
"憲哉","けんや"
"県也","けんや"
"県哉","けんや"
"絢哉","けんや"
"絹也","けんや"
"見弥","けんや"
"謙也","けんや"
"謙哉","けんや"
"謙弥","けんや"
"謙矢","けんや"
"謙耶","けんや"
"賢也","けんや"
"賢哉","けんや"
"健勇","けんゆう"
"健悠","けんゆう"
"健裕","けんゆう"
"憲優","けんゆう"
"憲勇","けんゆう"
"憲雄","けんゆう"
"賢勇","けんゆう"
"賢悠","けんゆう"
"賢雄","けんゆう"
"剣踊","けんよう"
"建龍","けんりゅう"
"憲龍","けんりゅう"
"謙朗","けんろう"
"健和","けんわ"
"建和","けんわ"
"芸一","げいいち"
"芸壱","げいいち"
"芸市","げいいち"
"撃","げき"
"月交","げっこう"
"月光","げっこう"
"月光丸","げっこうまる"
"月太","げった"
"月平","げっぺい"
"月太","げつた"
"夏暖","げのん"
"元","げん"
"厳","げん"
"幻","げん"
"弦","げん"
"源","げん"
"玄","げん"
"現","げん"
"絃","げん"
"舷","げん"
"元一","げんいち"
"元市","げんいち"
"弦一","げんいち"
"弦市","げんいち"
"源一","げんいち"
"源市","げんいち"
"玄一","げんいち"
"玄壱","げんいち"
"玄市","げんいち"
"現一","げんいち"
"現市","げんいち"
"元一朗","げんいちろう"
"元一郎","げんいちろう"
"弦一朗","げんいちろう"
"弦一郎","げんいちろう"
"源一郎","げんいちろう"
"玄一朗","げんいちろう"
"玄一郎","げんいちろう"
"玄英","げんえい"
"元喜","げんき"
"元基","げんき"
"元希","げんき"
"元樹","げんき"
"元気","げんき"
"元紀","げんき"
"元輝","げんき"
"弦希","げんき"
"弦樹","げんき"
"源喜","げんき"
"源巳","げんき"
"源貴","げんき"
"玄基","げんき"
"玄季","げんき"
"玄宜","げんき"
"玄樹","げんき"
"玄気","げんき"
"玄鬼","げんき"
"元吉","げんきち"
"源吉","げんきち"
"玄吉","げんきち"
"元康","げんこう"
"元五","げんご"
"元伍","げんご"
"元午","げんご"
"元吾","げんご"
"元呉","げんご"
"元悟","げんご"
"元護","げんご"
"源五","げんご"
"源伍","げんご"
"源午","げんご"
"源吾","げんご"
"源呉","げんご"
"源後","げんご"
"源悟","げんご"
"玄吾","げんご"
"玄呉","げんご"
"玄悟","げんご"
"現悟","げんご"
"元午郎","げんごろう"
"元吾朗","げんごろう"
"元吾郎","げんごろう"
"元呉朗","げんごろう"
"元呉郎","げんごろう"
"元悟朗","げんごろう"
"元悟郎","げんごろう"
"厳五郎","げんごろう"
"元作","げんさく"
"元策","げんさく"
"弦作","げんさく"
"弦策","げんさく"
"源作","げんさく"
"源策","げんさく"
"玄作","げんさく"
"玄策","げんさく"
"現作","げんさく"
"現策","げんさく"
"元三朗","げんざぶろう"
"元三郎","げんざぶろう"
"弦三朗","げんざぶろう"
"弦三郎","げんざぶろう"
"源三郎","げんざぶろう"
"玄三朗","げんざぶろう"
"玄三郎","げんざぶろう"
"元史","げんし"
"元司","げんし"
"元士","げんし"
"元志","げんし"
"弦史","げんし"
"弦司","げんし"
"弦志","げんし"
"源史","げんし"
"源司","げんし"
"源志","げんし"
"元州","げんしゅう"
"元将","げんしょう"
"元翔","げんしょう"
"元史朗","げんしろう"
"元史郎","げんしろう"
"元司朗","げんしろう"
"元司郎","げんしろう"
"元士郎","げんしろう"
"元志朗","げんしろう"
"元志郎","げんしろう"
"元二","げんじ"
"元児","げんじ"
"元慈","げんじ"
"元次","げんじ"
"元治","げんじ"
"元滋","げんじ"
"元示","げんじ"
"元翔","げんじ"
"元路","げんじ"
"源二","げんじ"
"玄二","げんじ"
"玄次","げんじ"
"玄治","げんじ"
"原十郎","げんじゅうろう"
"元二朗","げんじろう"
"元二郎","げんじろう"
"元士朗","げんじろう"
"元士郎","げんじろう"
"元次朗","げんじろう"
"元次郎","げんじろう"
"元治郎","げんじろう"
"弦二郎","げんじろう"
"弦次郎","げんじろう"
"絃次郎","げんじろう"
"元亮","げんすけ"
"元介","げんすけ"
"元佐","げんすけ"
"元助","げんすけ"
"元将","げんすけ"
"元舗","げんすけ"
"元資","げんすけ"
"元輔","げんすけ"
"玄介","げんすけ"
"玄助","げんすけ"
"玄輔","げんすけ"
"玄善","げんぜん"
"元三","げんぞう"
"元蔵","げんぞう"
"元造","げんぞう"
"弦三","げんぞう"
"弦蔵","げんぞう"
"弦造","げんぞう"
"源三","げんぞう"
"源蔵","げんぞう"
"源造","げんぞう"
"玄三","げんぞう"
"玄蔵","げんぞう"
"玄造","げんぞう"
"現三","げんぞう"
"現蔵","げんぞう"
"現造","げんぞう"
"元多","げんた"
"元太","げんた"
"厳太","げんた"
"弦多","げんた"
"弦太","げんた"
"彦太","げんた"
"彦汰","げんた"
"源多","げんた"
"源大","げんた"
"源太","げんた"
"玄多","げんた"
"玄太","げんた"
"現多","げんた"
"現太","げんた"
"現汰","げんた"
"絃太","げんた"
"絃汰","げんた"
"舷太","げんた"
"元多朗","げんたろう"
"元多郎","げんたろう"
"元太朗","げんたろう"
"元太郎","げんたろう"
"原太郎","げんたろう"
"巖太郎","げんたろう"
"玄多郎","げんたろう"
"玄太朗","げんたろう"
"玄太郎","げんたろう"
"元大","げんだい"
"現大","げんだい"
"元人","げんと"
"元斗","げんと"
"元渡","げんと"
"元登","げんと"
"元翔","げんと"
"元都","げんと"
"元飛","げんと"
"玄人","げんと"
"玄兎","げんと"
"玄斗","げんと"
"玄永","げんと"
"玄渡","げんと"
"玄登","げんと"
"玄翔","げんと"
"玄都","げんと"
"玄冬","げんとう"
"井芹","げんとく"
"玄徳","げんとく"
"源内","げんない"
"元之進","げんのしん"
"厳之進","げんのしん"
"弦之進","げんのしん"
"源之進","げんのしん"
"玄之進","げんのしん"
"現之進","げんのしん"
"絃之進","げんのしん"
"元之丞","げんのすけ"
"元之介","げんのすけ"
"元之助","げんのすけ"
"弦之介","げんのすけ"
"弦之助","げんのすけ"
"源之助","げんのすけ"
"玄之介","げんのすけ"
"玄之助","げんのすけ"
"元将","げんのぶ"
"玄武","げんぶ"
"元丙","げんぺい"
"元兵","げんぺい"
"元平","げんぺい"
"弦丙","げんぺい"
"弦兵","げんぺい"
"弦平","げんぺい"
"源平","げんぺい"
"玄丙","げんぺい"
"玄兵","げんぺい"
"玄平","げんぺい"
"元将","げんま"
"元磨","げんま"
"元馬","げんま"
"厳真","げんま"
"厳馬","げんま"
"弦真","げんま"
"弦間","げんま"
"源真","げんま"
"源馬","げんま"
"玄真","げんま"
"玄磨","げんま"
"玄馬","げんま"
"絃磨","げんま"
"元将","げんまさ"
"玄丸","げんまる"
"元也","げんや"
"元哉","げんや"
"元弥","げんや"
"元矢","げんや"
"元耶","げんや"
"玄也","げんや"
"玄哉","げんや"
"玄弥","げんや"
"玄矢","げんや"
"玄耶","げんや"
"元優","げんゆう"
