"性","セイ"
"管田","かんだ"
"観田","かんだ"
"鑑田","かんだ"
"閑田","かんだ"
"上田","かんだ"
"神田","かんだ"
"菅田","かんだ"
"諫田","かんだ"
"神高","かんだか"
"神立","かんだち"
"神達","かんだつ"
"神立","かんだつ"
"神立","かんだて"
"神田橋","かんだばし"
"冠地","かんち"
"菅近","かんちか"
"寒竹","かんちく"
"寒出","かんで"
"勘傳","かんでん"
"関東","かんとう"
"神東","かんとう"
"神頭","かんとう"
"菅藤","かんとう"
"菅頭","かんとう"
"神戸","かんど"
"神門","かんど"
"勘藤","かんどう"
"観堂","かんどう"
"貫洞","かんどう"
"還藤","かんどう"
"神藤","かんどう"
"香取","かんどり"
"神取","かんどり"
"神鳥","かんどり"
"漢那","かんな"
"神名","かんな"
"甘中","かんなか"
"神奈木","かんなぎ"
"間鍋","かんなべ"
"神辺","かんなべ"
"神南","かんなみ"
"菅波","かんなみ"
"金成","かんなり"
"神成","かんなり"
"河南","かんなん"
"閑念","かんねん"
"冠野","かんの"
"寒野","かんの"
"勧野","かんの"
"官能","かんの"
"官野","かんの"
"寛野","かんの"
"漢野","かんの"
"管野","かんの"
"簡野","かんの"
"観野","かんの"
"貫野","かんの"
"閑野","かんの"
"神呪","かんの"
"神能","かんの"
"神農","かんの"
"神野","かんの"
"菅納","かんの"
"菅野","かんの"
"官能","かんのう"
"金納","かんのう"
"神呪","かんのう"
"神納","かんのう"
"神能","かんのう"
"菅能","かんのう"
"感王寺","かんのうじ"
"神野藤","かんのとう"
"観音寺","かんのんじ"
"観音堂","かんのんどう"
"観音林","かんのんばやし"
"勘場","かんば"
"上場","かんば"
"神場","かんば"
"神庭","かんば"
"神波","かんば"
"寒梅","かんばい"
"神橋","かんばし"
"芳","かんばし"
"管林","かんばやし"
"上林","かんばやし"
"神林","かんばやし"
"上林山","かんばやしやま"
"蒲原","かんばら"
"鎌原","かんばら"
"関原","かんばら"
"上原","かんばら"
"神原","かんばら"
"神部","かんぶ"
"寒風","かんぷう"
"上部","かんべ"
"神戸","かんべ"
"神部","かんべ"
"神辺","かんべ"
"神邊","かんべ"
"神邉","かんべ"
"神戸川","かんべがわ"
"神棒","かんぼう"
"菅間","かんま"
"上舞","かんまい"
"上牧","かんまき"
"上町","かんまち"
"上松瀬","かんまつせ"
"上馬庭","かんまにわ"
"上丸","かんまる"
"上村","かんむら"
"冠","かんむり"
"貫名","かんめい"
"勘米良","かんめら"
"上米良","かんめら"
"神森","かんもり"
"神門","かんもん"
"官谷","かんや"
"歸家","かんや"
"神宅","かんやけ"
"完山","かんやま"
"柬理","かんり"
"甘露","かんろ"
"勘六野","かんろくの"
"甘露寺","かんろじ"
"賀井","がい"
"我伊野","がいの"
"我有","がう"
"賀内","がうち"
"臥雲","がうん"
"我喜屋","がきや"
"岳","がく"
"額原","がくはら"
"覚張","がくはり"
"嶽間沢","がくまさわ"
"峨家下","がけした"
"賀佐","がさ"
"我謝","がしゃ"
"我謝","がじゃ"
"潟永","がたなが"
"潟山","がたやま"
"月光","がっこう"
"合掌","がっしょう"
"月東","がっとう"
"甲把","がっぱ"
"合浦","がっぽ"
"合寶","がっぽう"
"我戸","がと"
"我那覇","がなは"
"我如古","がねこ"
"蒲田","がばた"
"我部","がぶ"
"我部","がべ"
"蒲","がま"
"蒲田","がまた"
"蒲田","がまだ"
"蒲沼","がまぬま"
"蒲野","がまの"
"我慢","がまん"
"我満","がまん"
"蒲生","がも"
"蒲生","がもう"
"我谷","がや"
"柄池","がらいけ"
"加覧","がらん"
"側","がわ"
"椛沢","がわさわ"
"蒲沢","がわさわ"
"側瀬","がわせ"
"側原","がわはら"
"願永","がんえい"
"願化","がんか"
"雁子","がんこ"
"鳫子","がんこ"
"雁行","がんこう"
"願興寺","がんこうじ"
"元佐","がんさ"
"鴈澤","がんざわ"
"雁瀬","がんせ"
"雁田","がんだ"
"雁長","がんちょう"
"丸藤","がんとう"
"丸藤","がんどう"
"元女","がんにょ"
"雁野","がんの"
"鴈野","がんの"
"鳫野","がんの"
"厂原","がんばら"
"雁部","がんべ"
"元明","がんみょう"
"眼龍","がんりゅう"
"紀","き"
"喜井","きい"
"紀伊","きい"
"紀井","きい"
"記伊","きい"
"記井","きい"
"城井","きい"
"木井","きい"
"紀伊国","きいくに"
"紀伊國","きいくに"
"鬼一","きいち"
"生一","きいち"
"紀伊埜本","きいのもと"
"喜入","きいれ"
"木植","きうえ"
"紀内","きうち"
"記内","きうち"
"城内","きうち"
"木内","きうち"
"黄海","きうみ"
"鬼海","きうみ"
"木浦","きうら"
"木枝","きえだ"
"木尾","きお"
"鬼追","きおい"
"喜岡","きおか"
"紀岡","きおか"
"木岡","きおか"
"木織","きおり"
"鬼海","きかい"
"鬼界","きかい"
"木方","きかた"
"木鎌","きかま"
"紀川","きかわ"
"鬼川","きかわ"
"木川","きかわ"
"木皮","きかわ"
"黄川田","きかわだ"
"木川田","きかわだ"
"気賀","きが"
"木我","きが"
"木賀","きが"
"氣賀","きが"
"氣駕","きが"
"気賀澤","きがさわ"
"氣賀澤","きがさわ"
"木上","きがみ"
"黄川","きがわ"
"城川","きがわ"
"木川","きがわ"
"木皮","きがわ"
"喜々津","ききつ"
"喜々津","ききづ"
"聞間","ききま"
"木久","ききゅう"
"桔梗","ききょう"
"喜木","きぎ"
"規矩","きく"
"菊","きく"
"橲久","きく"
"禧久","きく"
"菊井","きくい"
"菊一","きくいち"
"菊入","きくいり"
"菊植","きくうえ"
"菊内","きくうち"
"菊岡","きくおか"
"菊川","きくかわ"
"喜久川","きくがわ"
"菊川","きくがわ"
"菊子","きくこ"
"菊崎","きくさき"
"菊里","きくさと"
"菊沢","きくさわ"
"菊澤","きくさわ"
"菊咲","きくざき"
"菊崎","きくざき"
"喜久里","きくざと"
"菊沢","きくざわ"
"菊澤","きくざわ"
"菊島","きくしま"
"菊嶋","きくしま"
"菊水","きくすい"
"喜久田","きくた"
"菊田","きくた"
"菊竹","きくたけ"
"菊武","きくたけ"
"菊谷","きくたに"
"鞠谷","きくたに"
"聞谷","きくたに"
"規矩智","きくち"
"菊知","きくち"
"菊地","きくち"
"菊智","きくち"
"菊池","きくち"
"菊地原","きくちはら"
"菊地原","きくちばら"
"菊次","きくつぎ"
"菊妻","きくづま"
"菊仲","きくなか"
"喜久永","きくなが"
"菊永","きくなが"
"喜国","きくに"
"菊野","きくの"
"菊原","きくはら"
"菊藤","きくふじ"
"菊間","きくま"
"菊見","きくみ"
"喜久村","きくむら"
"菊村","きくむら"
"菊本","きくもと"
"鞠本","きくもと"
"菊森","きくもり"
"菊盛","きくもり"
"菊屋","きくや"
"菊谷","きくや"
"菊矢","きくや"
"喜久山","きくやま"
"菊山","きくやま"
"木倉","きくら"
"菊楽","きくらく"
"木口","きぐち"
"木口屋","きぐちや"
"木暮","きぐれ"
"亀ケ川","きけがわ"
"亀掛川","きけがわ"
"亀卦川","きけがわ"
"喜古","きこ"
"木子","きこ"
"亀甲","きこう"
"木興","きこう"
"枳穀","きこく"
"鬼児島","きこじま"
"亀甲谷","きこや"
"木子","きご"
"城越","きごし"
"木越","きごし"
"木頃","きごろ"
"吉舎","きさ"
"木佐","きさ"
"木済","きさい"
"木濟","きさい"
"私市","きさいち"
"木坂","きさか"
"木阪","きさか"
"薪先","きさき"
"木佐木","きさき"
"木咲","きさき"
"木崎","きさき"
"木崎原","きさきばる"
"北里","きさたと"
"木佐谷","きさたに"
"幾左田","きさだ"
"木貞","きさだ"
"木佐貫","きさぬき"
"木佐森","きさもり"
"木皿","きさら"
"如月","きさらぎ"
"木皿儀","きさらぎ"
"木更津","きさらづ"
"鬼澤","きさわ"
"木澤","きさわ"
"木崎","きざき"
"木嵜","きざき"
"鬼沢","きざわ"
"木沢","きざわ"
"木澤","きざわ"
"岸","きし"
"喜始","きし"
"喜志","きし"
"幾志","きし"
"紀氏","きし"
"貴志","きし"
"来住","きし"
"來住","きし"
"岸井","きしい"
"岸上","きしうえ"
"岸江","きしえ"
"岸尾","きしお"
"岸岡","きしおか"
"岸懸","きしかけ"
"岸蔭","きしかげ"
"岸川","きしかわ"
"岸上","きしがみ"
"岸川","きしがわ"
"岸木","きしき"
"吉敷","きしき"
"岸木","きしぎ"
"岸里","きしさと"
"岸下","きしした"
"岸副","きしぞえ"
"岸園","きしぞの"
"木下","きした"
"岸高","きしたか"
"岸谷","きしたに"
"岸田","きしだ"
"鬼室","きしつ"
"岸科","きしな"
"岸名","きしな"
"木科","きしな"
"岸永","きしなが"
"岸波","きしなみ"
"岸並","きしなみ"
"岸浪","きしなみ"
"岸根","きしね"
"岸野","きしの"
"木住野","きしの"
"来住野","きしの"
"岸端","きしはた"
"岸原","きしはら"
"岸場","きしば"
"岸塲","きしば"
"岸端","きしばた"
"岸林","きしばやし"
"岸渕","きしぶち"
"岸部","きしべ"
"岸邊","きしべ"
"岸邉","きしべ"
"岸保","きしほ"
"岸間","きしま"
"喜志麻","きしま"
"貴島","きしま"
"貴嶋","きしま"
"杵島","きしま"
"木島","きしま"
"木嶋","きしま"
"岸前","きしまえ"
"岸見","きしみ"
"岸水","きしみず"
"岸峯","きしみね"
"岸宗","きしむね"
"岸村","きしむら"
"岸本","きしもと"
"喜舎場","きしゃば"
"岸谷","きしや"
"岸山","きしやま"
"寄主","きしゅ"
"紀洲","きしゅう"
"岸良","きしら"
"稀代","きしろ"
"木城","きしろ"
"木代","きしろ"
"木白","きしろ"
"岸和田","きしわだ"
"岸人","きしんど"
"喜治","きじ"
"喜地","きじ"
"貴治","きじ"
"木地","きじ"
"木地谷","きじたに"
"雉子谷","きじたに"
"雉子谷","きじだに"
"其日","きじつ"
"雉鳥","きじとり"
"雉子波","きじなみ"
"雉野","きじの"
"喜島","きじま"
"喜嶋","きじま"
"貴島","きじま"
"鬼島","きじま"
"杵島","きじま"
"木島","きじま"
"木嶋","きじま"
"来島","きじま"
"来嶋","きじま"
"雉間","きじま"
"木嶋谷","きじまや"
"雉子牟田","きじむた"
"雉本","きじもと"
"木次谷","きじや"
"木地山","きじやま"
"鬼城","きじょう"
"木須","きす"
"木須井","きすい"
"木透","きすき"
"来生","きすぎ"
"来住南","きすな"
"木栖","きすみ"
"木津","きず"
"木塚","きずか"
"城","きずき"
"木住","きずみ"
"来住","きずみ"
"木住野","きずみの"
"黄瀬","きせ"
"喜瀬","きせ"
"吉瀬","きせ"
"木瀬","きせ"
"木勢","きせ"
"幾石","きせき"
"気仙","きせん"
"氣仙","きせん"
"競","きそ"
"木曽","きそ"
"競","きそう"
"木曽田","きそだ"
"木曽野","きその"
"木曽原","きそはら"
"木添","きぞえ"
"喜多","きた"
"喜田","きた"
"喜夛","きた"
"貴多","きた"
"城多","きた"
"北","きた"
"木多","きた"
"木太","きた"
"木田","きた"
"来田","きた"
"耒田","きた"
"北嵐","きたあらし"
"希代","きたい"
"稀代","きたい"
"稀与","きたい"
"鍛","きたい"
"鍛代","きたい"
"北井","きたい"
"北居","きたい"
"北池","きたいけ"
"北泉","きたいずみ"
"北市","きたいち"
"北乾","きたいぬい"
"北上","きたうえ"
"北上田","きたうえだ"
"北氏","きたうじ"
"北内","きたうち"
"北浦","きたうら"
"北裏","きたうら"
"北栄","きたえ"
"喜多尾","きたお"
"北尾","きたお"
"北王","きたおう"
"北大路","きたおおじ"
"貴田岡","きたおか"
"北岡","きたおか"
"北奥","きたおく"
"北落","きたおち"
"北面","きたおも"
"北折","きたおり"
"北角","きたかく"
"北風","きたかぜ"
"北方","きたかた"
"北角","きたかど"
"北門","きたかど"
"北構","きたかまえ"
"北上","きたかみ"
"北川","きたかわ"
"北垣戸","きたがいと"
"北垣内","きたがいと"
"北垣","きたがき"
"北潟","きたがた"
"北形","きたがた"
"北方","きたがた"
"北潟谷","きたがたや"
"北陸","きたがち"
"北上","きたがみ"
"北神","きたがみ"
"喜多川","きたがわ"
"北河","きたがわ"
"北川","きたがわ"
"北側","きたがわ"
"木田川","きたがわ"
"北河原","きたがわら"
"北川原","きたがわら"
"北木","きたき"
"木滝","きたき"
"北城戸","きたきど"
"北龍","きたきみ"
"北岸","きたぎし"
"北国","きたくに"
"北久保","きたくぼ"
"北倉","きたくら"
"北口","きたぐち"
"北小路","きたこうじ"
"北古賀","きたこが"
"北越","きたこし"
"北後","きたご"
"北郷","きたごう"
"北郡","きたごおり"
"北坂","きたさか"
"北阪","きたさか"
"北崎","きたさき"
"北迫","きたさこ"
"北里","きたさと"
"喜多崎","きたざき"
"北崎","きたざき"
"北迫","きたざこ"
"北里","きたざと"
"喜多澤","きたざわ"
"北沢","きたざわ"
"北澤","きたざわ"
"北芝","きたしば"
"喜多嶋","きたしま"
"北島","きたしま"
"北嶋","きたしま"
"北庄","きたしょう"
"北庄司","きたしょうじ"
"北白川","きたしらかわ"
"喜多代","きたしろ"
"北城","きたしろ"
"北代","きたしろ"
"来代","きたしろ"
"北地","きたじ"
"喜多島","きたじま"
"喜多嶋","きたじま"
"北島","きたじま"
"北嶋","きたじま"
"北嶌","きたじま"
"北所","きたじょ"
"喜多條","きたじょう"
"北上","きたじょう"
"北城","きたじょう"
"北條","きたじょう"
"北尻","きたじり"
"北須賀","きたすか"
"北須賀","きたすが"
"北角","きたずみ"
"北隅","きたずみ"
"北住","きたずみ"
"北瀬","きたせ"
"吉清","きたせい"
"北清","きたせい"
"北添","きたぞえ"
"北園","きたぞの"
"北薗","きたぞの"
"北谷","きたたに"
"喜多田","きただ"
"北田","きただ"
"来田","きただ"
"北代","きただい"
"北台","きただい"
"北臺","きただい"
"来代","きただい"
"耒代","きただい"
"北滝","きただき"
"北舘","きただて"
"北楯","きただて"
"北谷","きただに"
"北谿","きただに"
"北地","きたち"
"北次","きたつぐ"
"北辻","きたつじ"
"北逵","きたつじ"
"北爪","きたつめ"
"北津留","きたつる"
"北詰","きたづめ"
"北爪","きたづめ"
"北出","きたで"
"北冨","きたとみ"
"北戸","きたど"
"北所","きたどころ"
"北殿","きたどの"
"北泊","きたどまり"
"北名","きたな"
"北中","きたなか"
"北仲","きたなか"
"北永","きたなが"
"北浪","きたなみ"
"喜谷","きたに"
"気谷","きたに"
"記谷","きたに"
"木谷","きたに"
"氣谷","きたに"
"北西","きたにし"
"北根","きたね"
"喜多埜","きたの"
"喜多野","きたの"
"貴多野","きたの"
"北埜","きたの"
"北濃","きたの"
"北能","きたの"
"北農","きたの"
"北野","きたの"
"来野","きたの"
"北野上","きたのうえ"
"北之迫","きたのさこ"
"北ノ園","きたのその"
"北之園","きたのその"
"北之坊","きたのぼう"
"北之防","きたのぼう"
"北野谷","きたのや"
"北橋","きたはし"
"北畑","きたはた"
"喜多幅","きたはば"
"北浜","きたはま"
"北濱","きたはま"
"北原","きたはら"
"北場","きたば"
"北波","きたば"
"北端","きたばた"
"北畑","きたばた"
"北畠","きたばたけ"
"北林","きたばやし"
"北平","きたひら"
"北廣","きたひろ"
"北福","きたふく"
"北袋","きたぶくろ"
"北分","きたぶん"
"北部","きたべ"
"北別府","きたべっぷ"
"北洞","きたほら"
"北堀","きたほり"
"北堀","きたぼり"
"北間","きたま"
"北牧","きたまき"
"北町","きたまち"
"北松","きたまつ"
"北丸","きたまる"
"喜多見","きたみ"
"北見","きたみ"
"木多見","きたみ"
"北御門","きたみかど"
"北道","きたみち"
"北密","きたみつ"
"北峯","きたみね"
"北宮","きたみや"
"北向","きたむかい"
"北向","きたむき"
"喜多村","きたむら"
"喜田村","きたむら"
"北村","きたむら"
"北邨","きたむら"
"来村","きたむら"
"来田村","きたむら"
"北室","きたむろ"
"北目","きため"
"北明","きためい"
"喜夛本","きたもと"
"北元","きたもと"
"北本","きたもと"
"北守","きたもり"
"北森","きたもり"
"北門","きたもん"
"北宅","きたや"
"北谷","きたや"
"北矢","きたや"
"喜多山","きたやま"
"北山","きたやま"
"来山","きたやま"
"來山","きたやま"
"北湯口","きたゆぐち"
"北吉","きたよし"
"木樽","きたる"
"北脇","きたわき"
"北渡瀬","きたわたせ"
"喜旦","きたん"
"黄田","きだ"
"喜多","きだ"
"喜田","きだ"
"寄田","きだ"
"機田","きだ"
"紀田","きだ"
"貴田","きだ"
"城多","きだ"
"善田","きだ"
"木多","きだ"
"木田","きだ"
"来田","きだ"
"氣田","きだ"
"希代","きだい"
"木出","きだし"
"木達","きだち"
"木立","きだち"
"木建","きだて"
"喜谷","きだに"
"木谷","きだに"
"木田橋","きだはし"
"木俵","きだわら"
"吉鎌","きちかま"
"吉川","きちかわ"
"貴地邦","きちくに"
"吉高神","きちこうじん"
"吉島","きちじま"
"吉嶋","きちじま"
"吉瀬","きちせ"
"吉清","きちせい"
"吉瀬","きちぜ"
"吉間","きちま"
"吉楽","きちらく"
"木地","きぢ"
"吉家","きっか"
"吉川","きっかわ"
"橘川","きっかわ"
"亀甲","きっこう"
"吉向","きっこう"
"吉光寺","きっこうじ"
"吉行神","きっこうじん"
"吉高神","きっこうじん"
"橘田","きった"
"吉高","きったか"
"橘高","きったか"
"橘鷹","きったか"
"切手","きって"
"吉津","きつ"
"木津","きつ"
"橘井","きつい"
"橘川","きつかわ"
"木津川","きつかわ"
"木付","きつき"
"木附","きつき"
"木次","きつぎ"
"木造","きつくり"
"橘田","きつた"
"橘高","きつたか"
"橘田","きつだ"
"橘堂","きつどう"
"橘内","きつない"
"狐崎","きつねざき"
"狐塚","きつねづか"
"橘本","きつもと"
"橘谷","きつや"
"喜連川","きつれがわ"
"橘和","きつわ"
"岐津","きづ"
"木津","きづ"
"木塚","きづか"
"木月","きづき"
"木津喜","きづき"
"木付","きづき"
"木附","きづき"
"木造","きづくり"
"木津谷","きづたに"
"木綱","きづな"
"喜禎","きてい"
"北川","きてがわ"
"木寺","きてら"
"貴傳名","きでな"
"木寺","きでら"
"喜藤","きとう"
"紀藤","きとう"
"貴答","きとう"
"鬼頭","きとう"
"木藤","きとう"
"竒藤","きとう"
"木藤古","きとうご"
"寄特","きとく"
"記虎","きとら"
"貴虎","きとら"
"貴寅","きとら"
"木虎","きとら"
"木藤良","きとら"
"木寅","きとら"
"木渡路","きとろ"
"喜渡","きど"
"幾度","きど"
"貴戸","きど"
"城戸","きど"
"城門","きど"
"木戸","きど"
"木戸秋","きどあき"
"貴堂","きどう"
"木藤","きどう"
"木道","きどう"
"木戸岡","きどおか"
"木通","きどおし"
"木戸上","きどがみ"
"木戸川","きどがわ"
"城戸口","きどぐち"
"木戸口","きどぐち"
"樹所","きどころ"
"城処","きどころ"
"城所","きどころ"
"木所","きどころ"
"城戸崎","きどさき"
"木戸地","きどじ"
"木戸田","きどた"
"木戸出","きどで"
"城殿","きどの"
"木戸間","きどま"
"嘉納","きな"
"喜納","きな"
"喜名","きな"
"喜内","きない"
"木内","きない"
"木苗","きなえ"
"喜中","きなか"
"紀中","きなか"
"木永","きなが"
"木長","きなが"
"木梨","きなし"
"木名瀬","きなせ"
"木南","きなみ"
"木並","きなみ"
"木浪","きなみ"
"木滑","きなめ"
"木滑","きなめり"
"喜成","きなり"
"木南","きなん"
"木庭","きにわ"
"絹井","きぬい"
"衣浦","きぬうら"
"衣川","きぬかわ"
"絹川","きぬかわ"
"衣笠","きぬがさ"
"絹笠","きぬがさ"
"衣川","きぬがわ"
"絹川","きぬがわ"
"衣田","きぬた"
"絹田","きぬた"
"絹谷","きぬたに"
"絹野","きぬの"
"衣畑","きぬはた"
"衣巻","きぬまき"
"絹巻","きぬまき"
"絹村","きぬむら"
"衣本","きぬもと"
"絹谷","きぬや"
"衣輪","きぬわ"
"木根","きね"
"杵川","きねかわ"
"杵崎","きねざき"
"甲原","きねはら"
"杵淵","きねふち"
"杵淵","きねぶち"
"杵渕","きねぶち"
"木根淵","きねぶち"
"木根渕","きねぶち"
"杵鞭","きねむち"
"杵村","きねむら"
"木練","きねり"
"喜野","きの"
"紀","きの"
"紀野","きの"
"記野","きの"
"木野","きの"
"喜納","きのう"
"寄能","きのう"
"貴納","きのう"
"木納","きのう"
"木上","きのうえ"
"紀之内","きのうち"
"木ノ内","きのうち"
"木内","きのうち"
"木之内","きのうち"
"木野内","きのうち"
"甲","きのえ"
"紀ノ岡","きのおか"
"紀国","きのくに"
"紀國谷","きのくにや"
"木野崎","きのさき"
"紀ノ定","きのさだ"
"喜熨斗","きのし"
"樹下","きのした"
"木ノ下","きのした"
"木下","きのした"
"木之下","きのした"
"木ノ島","きのしま"
"木ノ嶋","きのしま"
"城代","きのしろ"
"木代","きのしろ"
"木ノ瀬","きのせ"
"木之瀬","きのせ"
"木野田","きのた"
"木野田","きのだ"
"城ノ戸","きのと"
"城戸","きのと"
"木ノ戸","きのと"
"木野戸","きのと"
"木根","きのね"
"木ノ平","きのひら"
"木宮","きのみや"
"木野村","きのむら"
"木野目","きのめ"
"木ノ元","きのもと"
"木ノ本","きのもと"
"木之本","きのもと"
"木野本","きのもと"
"木埜山","きのやま"
"木野山","きのやま"
"木ノ脇","きのわき"
"木橋","きはし"
"木幡","きはた"
"木畑","きはた"
"木畠","きはた"
"木花","きはな"
"季原","きはら"
"鬼原","きはら"
"木原","きはら"
"季羽","きば"
"騎馬","きば"
"木羽","きば"
"木場","きば"
"木葉","きば"
"木庭袋","きばくら"
"木橋","きばし"
"木場田","きばた"
"木幡","きばた"
"木畑","きばた"
"木花","きばな"
"木場本","きばもと"
"木林","きばやし"
"木久","きひさ"
"紀平","きひら"
"木平","きひら"
"吉備","きび"
"氣比","きび"
"吉備津","きびつ"
"吉備永","きびなが"
"喜福","きふく"
"木藤","きふじ"
"貴船","きふね"
"木舟","きふね"
"木船","きふね"
"木舩","きふね"
"癸生川","きぶかわ"
"木伏","きぶし"
"木歩士","きぶし"
"貴船","きぶね"
"貴舩","きぶね"
"木船","きぶね"
"岐部","きべ"
"木部","きべ"
"木邊","きべ"
"亀宝","きほう"
"木方","きほう"
"木保","きぼ"
"木前","きまえ"
"木間瀬","きませ"
"木股","きまた"
"木全","きまた"
"木俣","きまた"
"木町","きまち"
"来海","きまち"
"來海","きまち"
"木間塚","きまつか"
"君","きみ"
"君岡","きみおか"
"公門","きみかど"
"君川","きみかわ"
"君ヶ袋","きみがふくろ"
"君ヶ袋","きみがぶくろ"
"君澤","きみさわ"
"貴美島","きみしま"
"君島","きみしま"
"君嶋","きみしま"
"君島","きみじま"
"君嶋","きみじま"
"木水","きみず"
"君田","きみた"
"木光","きみつ"
"木密","きみつ"
"木蜜","きみつ"
"君塚","きみつか"
"君付","きみつき"
"君塚","きみづか"
"君波","きみなみ"
"木南","きみなみ"
"君成田","きみなりた"
"君野","きみの"
"君原","きみはら"
"公原","きみはら"
"公森","きみもり"
"木宮","きみや"
"木實谷","きみや"
"君安","きみやす"
"喜見山","きみやま"
"君山","きみやま"
"木明","きみょう"
"君羅","きみら"
"君和田","きみわだ"
"喜村","きむら"
"季村","きむら"
"紀村","きむら"
"貴村","きむら"
"貴邑","きむら"
"木村","きむら"
"木邑","きむら"
"木邨","きむら"
"来村","きむら"
"紀室","きむろ"
"木室","きむろ"
"木目","きめ"
"木目沢","きめざわ"
"木目田","きめた"
"木目田","きめだ"
"木持","きもち"
"肝月","きもつき"
"肝付","きもつき"
"肝付","きもつけ"
"喜本","きもと"
"紀本","きもと"
"樹本","きもと"
"木許","きもと"
"木元","きもと"
"木本","きもと"
"喜森","きもり"
"樹森","きもり"
"城森","きもり"
"木守","きもり"
"木森","きもり"
"客","きゃく"
"客殿","きゃくでん"
"客野","きゃくの"
"客本","きゃくもと"
"喜舎場","きゃしゃば"
"喜屋武","きゃん"
"喜屋","きや"
"紀谷","きや"
"貴家","きや"
"木屋","きや"
"木家","きや"
"木谷","きや"
"木矢","きや"
"氣谷","きや"
"木屋川内","きやかわうち"
"鬼屋敷","きやしき"
"木屋路","きやじ"
"喜安","きやす"
"木安","きやす"
"喜屋武","きやたけ"
"喜屋田","きやだ"
"鬼柳","きやなぎ"
"木柳","きやなぎ"
"木谷畑","きやはた"
"喜屋原","きやはら"
"木薮","きやぶ"
"喜山","きやま"
"帰山","きやま"
"貴山","きやま"
"鬼山","きやま"
"樹山","きやま"
"城山","きやま"
"木山","きやま"
"木闇","きやみ"
"喜家村","きやむら"
"木谷村","きやむら"
"木矢村","きやむら"
"喜屋武","きやん"
"休井","きゅうい"
"久恵","きゅうえ"
"久江","きゅうえ"
"久川","きゅうかわ"
"久喜","きゅうき"
"久木","きゅうき"
"久北","きゅうきた"
"久古","きゅうこ"
"久郷","きゅうごう"
"久才","きゅうさい"
"休坂","きゅうさか"
"久崎","きゅうさき"
"久崎","きゅうざき"
"久司","きゅうし"
"急式","きゅうしき"
"久島","きゅうしま"
"久嶋","きゅうしま"
"久新","きゅうしん"
"久次","きゅうじ"
"久瀬","きゅうせ"
"給前","きゅうぜん"
"久曽神","きゅうそじん"
"久蔵","きゅうぞう"
"久戸","きゅうと"
"久徳","きゅうとく"
"喜友名","きゅうな"
"久野","きゅうの"
"及能","きゅうの"
"弓野","きゅうの"
"久原","きゅうはら"
"休場","きゅうば"
"久文","きゅうぶん"
"久寳","きゅうほう"
"久間","きゅうま"
"久馬","きゅうま"
"久門","きゅうもん"
"久良","きゅうら"
"久良木","きゅうらぎ"
"久和","きゅうわ"
"木湯","きゆ"
"亀遊","きゆう"
"喜友名","きゆうな"
"喜友名","きゆな"
"杏","きょう"
"京","きょう"
"経","きょう"
"姜","きょう"
"經","きょう"
"京井","きょうい"
"京泉","きょういずみ"
"京円","きょうえん"
"京尾","きょうお"
"京角","きょうかく"
"京兼","きょうかね"
"京角","きょうがく"
"京口","きょうぐち"
"京紺","きょうこん"
"京極","きょうごく"
"京才","きょうさい"
"京坂","きょうさか"
"京崎","きょうさき"
"京澤","きょうさわ"
"京師","きょうし"
"京島","きょうしま"
"京嶋","きょうしま"
"京條","きょうじょう"
"京須","きょうす"
"京砂","きょうすな"
"経塚","きょうずか"
"京角","きょうずみ"
"京相","きょうそう"
"京増","きょうそう"
"京田","きょうた"
"京谷","きょうたに"
"京田","きょうだ"
"経田","きょうだ"
"京塚","きょうづか"
"京墓","きょうづか"
"経塚","きょうづか"
"京田","きょうでん"
"経田","きょうでん"
"京都","きょうと"
"京藤","きょうとう"
"京徳","きょうとく"
"京戸","きょうど"
"經堂","きょうどう"
"京西","きょうにし"
"京念屋","きょうねんや"
"京野","きょうの"
"興野","きょうの"
"京橋","きょうはし"
"京原","きょうはら"
"京林","きょうばやし"
"京部","きょうぶ"
"刑部","きょうぶ"
"堯部","きょうぶ"
"享保","きょうほ"
"京増","きょうます"
"京海","きょうみ"
"京村","きょうむら"
"京牟礼","きょうむれ"
"京牟禮","きょうむれ"
"京免","きょうめん"
"京本","きょうもと"
"京盛","きょうもり"
"京屋","きょうや"
"京谷","きょうや"
"姜山","きょうやま"
"教来石","きょうらいせき"
"京楽","きょうらく"
"京樂","きょうらく"
"曲山","きょくやま"
"許士","きょし"
"許田","きょだ"
"喜代","きよ"
"清","きよ"
"清井","きよい"
"清石","きよいし"
"清浦","きようら"
"清枝","きよえ"
"清岡","きよおか"
"清家","きよか"
"清金","きよかね"
"清兼","きよかね"
"清河","きよかわ"
"清川","きよかわ"
"清木場","きよきば"
"清久","きよく"
"清雲","きよくも"
"清木場","きよこば"
"清崎","きよさき"
"清里","きよさと"
"清沢","きよさわ"
"清澤","きよさわ"
"清沢","きよざわ"
"喜代吉","きよし"
"許士","きよし"
"清","きよし"
"木吉","きよし"
"清重","きよしげ"
"清島","きよしま"
"清嶋","きよしま"
"清代","きよしろ"
"清島","きよじま"
"清棲","きよす"
"清末","きよすえ"
"清杉","きよすぎ"
"清輔","きよすけ"
"清住","きよすみ"
"清須美","きよすみ"
"浄住","きよずみ"
"清住","きよずみ"
"清澄","きよずみ"
"清瀬","きよせ"
"浄園","きよぞの"
"喜代田","きよた"
"強田","きよた"
